friendlyName,ra_hours,ra_minutes,ra_seconds,dec_degrees,dec_minutes,dec_seconds,magnitudeHigh,magnitudeLow,period,constellation,type,spectralType
W UMa,9,43,45.47,55,57,9.1,7.75,8.48,0.33363749,Ursa Major,EW/KW,F8Vp+F8Vp
Z UMa,11,56,30.22,57,52,17.6,6.2,9.4,195.5,Ursa Major,SRB,M5IIIe
del Cep,22,29,10.27,58,24,54.7,3.49,4.36,5.366266,Cepheus,DCEP,F5Ib-G1Ib
bet Per,3,8,10.13,40,57,20.4,2.09,3.3,2.86735,Perseus,EA/SD,B8V+G8III
bet Lyr,18,50,4.79,33,21,45.6,3.3,4.35,12.944,Lyra,DPV:/EB,B8II-IIIep
mu Cep,21,43,30.46,58,46,48.1,3.43,5.1,835,Cepheus,SRC,M2Iae
VW Cep,20,37,21.54,75,36,1.5,7.31,7.71,0.2783089,Cepheus,EW/KW,G5+K0Ve
eta Aql,19,52,28.37,1,0,20.4,3.49,4.3,7.17679,Aquila,DCEP,F6Ib-G4Ib+B9.8V
omi Cet,2,19,20.79,-2,58,39.5,2,10.1,330.2,Cetus,M,M5e-M9e
R Lyr,18,55,20.1,43,56,45.4,3.81,4.44,46,Lyra,SRB,M5III
bet Cep,21,28,39.6,70,20,27.5,3.16,3.27,0.1904881,Cepheus,BCEP,B2IIIeV
BE Lyn,9,18,17.18,46,9,11.3,8.57,8.97,0.09586954,Lynx,HADS,A3
V474 Mon,5,59,1.08,-9,22,56,5.94,6.31,0.136126,Monoceros,HADS,F2IV
eps Aur,5,1,58.13,43,49,23.9,2.92,3.83,9892,Auriga,EA/GS,A8Ia-F2epIa+BV
YZ Boo,15,24,7,36,52,0.6,10.3,10.8,0.10409156,Bootes,DSCT,A6-F1
Al Vel,8,31,11.29,-47,39,57.4,8.54,8.98,96.107,Vela,EA/GS/D,K0III+A3III/V
SS Cyg,21,42,42.8,43,35,9.9,7.7,12.4,0.27513,Cygnus,UGSS,K5V+pec(UG)
V0456 Sgr,18,49,20.4,-32,55,47.9,14.4,15.1,0.7117164,Sagittarius,RRAB,-
T CrB,15,59,30.16,25,55,12.6,2,10.8,227.55,Corona Borealis,NR+ELL,M3III+pec(NOVA)
RS Boo,14,33,33.21,31,58,25.1,9.67,10.84,0.37733896,Bootes,RRAB,A7-F5
V0338 Boo,15,46,26.14,44,18,47.2,12.49,13.22,0.494047,Bootes,RRD,-